latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-17.87233,138.24716,323.35,1.93,1.36,2025-02-24,0030,T,71,6.1NRT,302.28,25.5,D
-17.87436,138.26535,330.6,1.93,1.36,2025-02-24,0030,T,80,6.1NRT,302.4,47.73,D
-18.3802,141.38043,345.62,3.41,1.74,2025-02-24,0030,T,92,6.1NRT,298.14,259.16,D
-18.3834,141.41205,326.07,3.43,1.74,2025-02-24,0030,T,69,6.1NRT,299.09,82.25,D
-18.37638,141.37582,340.05,3.41,1.74,2025-02-24,0030,T,89,6.1NRT,298.04,201.96,D
-18.37936,141.40747,331.91,3.43,1.74,2025-02-24,0030,T,83,6.1NRT,298.11,127.51,D
-17.56452,128.15704,328.96,1.5,1.21,2025-02-24,0030,T,80,6.1NRT,300.34,31.24,D
-17.5752,128.15523,321.7,1.5,1.21,2025-02-24,0030,T,71,6.1NRT,301.79,16.8,D
-19.2833,130.27647,333.43,1.09,1.04,2025-02-24,0030,T,79,6.1NRT,306.65,23.37,D
-19.28487,130.28658,329.62,1.09,1.04,2025-02-24,0030,T,74,6.1NRT,306.65,17.11,D
-19.30013,130.26328,328.11,1.09,1.04,2025-02-24,0030,T,71,6.1NRT,307.32,15.28,D
-19.30169,130.27339,330.05,1.09,1.04,2025-02-24,0030,T,74,6.1NRT,307.48,17.82,D
-20.36996,131.35667,331.55,1.01,1,2025-02-24,0030,T,74,6.1NRT,309.4,16.6,D
-22.11435,123.3045,326.89,2.75,1.59,2025-02-24,0032,T,73,6.1NRT,303.36,60.33,D
-27.62029,-58.32579,315.07,2.71,1.58,2025-02-24,0106,T,88,6.1NRT,297.54,44.01,N
-27.61567,-58.33293,311.23,2.71,1.58,2025-02-24,0106,T,78,6.1NRT,297.34,29.8,N
-27.58844,-59.28449,307.2,3.18,1.69,2025-02-24,0106,T,62,6.1NRT,296.93,19.44,N
-25.3259,-42.70063,320.92,2.52,1.53,2025-02-24,0106,T,100,6.1NRT,292.81,63.87,N
-24.6254,-42.26733,305.62,2.8,1.6,2025-02-24,0106,T,34,6.1NRT,293.94,18.95,N
-24.63602,-42.27119,305.19,2.8,1.6,2025-02-24,0106,T,23,6.1NRT,293.45,18.19,N
-26.43702,-61.12874,308.18,4.19,1.9,2025-02-24,0106,T,52,6.1NRT,297.47,34.04,N
-26.43954,-61.1702,311.91,4.22,1.9,2025-02-24,0106,T,80,6.1NRT,297.47,56.13,N
-26.4327,-61.13402,307.97,4.19,1.9,2025-02-24,0106,T,65,6.1NRT,297.5,37.12,N
-26.43546,-61.17542,307.56,4.22,1.9,2025-02-24,0106,T,62,6.1NRT,297.38,35.46,N
-26.1339,-57.53632,306.9,2.28,1.46,2025-02-24,0106,T,67,6.1NRT,293.78,18.41,N
-26.13594,-57.5588,326.73,2.29,1.46,2025-02-24,0106,T,100,6.1NRT,294.26,77.6,N
-26.12291,-57.56023,315.2,2.29,1.46,2025-02-24,0106,T,90,6.1NRT,293.74,38.84,N
-22.9023,-43.73567,305.57,2.4,1.49,2025-02-24,0109,T,65,6.1NRT,292.11,15.46,N
-21.30188,-48.61946,306.18,1.21,1.09,2025-02-24,0109,T,67,6.1NRT,290.42,8.63,N
-20.72206,-49.42856,304.8,1.12,1.06,2025-02-24,0109,T,62,6.1NRT,285.63,7.36,N
-20.72367,-49.43903,313.77,1.12,1.05,2025-02-24,0109,T,88,6.1NRT,287.47,14.74,N
-21.09257,-54.19156,308.4,1.18,1.08,2025-02-24,0109,T,74,6.1NRT,293.14,8.4,N
-21.08299,-54.19287,306.04,1.18,1.08,2025-02-24,0109,T,67,6.1NRT,293.15,6.37,N
-18.63804,-48.25072,300.38,1.39,1.17,2025-02-24,0109,T,26,6.1NRT,287.51,5.51,N
-33.3016,19.26048,301.35,1,1,2025-02-24,0054,A,40,6.1NRT,289.5,5.1,N
-1.40079,29.20028,341.65,1.23,1.1,2025-02-24,0045,A,100,6.1NRT,284.06,62.34,N
-33.30317,19.27111,380.61,1,1,2025-02-24,0054,A,100,6.1NRT,296.84,157.37,N
-1.40239,29.211,398.48,1.23,1.1,2025-02-24,0045,A,100,6.1NRT,300.25,330.53,N
-33.30474,19.28183,360.82,1,1,2025-02-24,0054,A,100,6.1NRT,296.68,89.71,N
-1.41043,29.19884,393.47,1.23,1.1,2025-02-24,0045,A,100,6.1NRT,296.95,292.44,N
-33.33395,19.23201,325.05,1,1,2025-02-24,0054,A,100,6.1NRT,288.51,24.55,N
-1.41201,29.20936,471.88,1.23,1.1,2025-02-24,0045,A,100,6.1NRT,319.05,1404.04,N
-33.33547,19.24246,325.34,1,1,2025-02-24,0054,A,100,6.1NRT,288.64,24.81,N
-1.41377,29.22105,310.35,1.23,1.1,2025-02-24,0045,A,43,6.1NRT,283.96,13.98,N
-33.36455,19.25163,342.43,1,1,2025-02-24,0054,A,100,6.1NRT,291.27,48.47,N
-1.41711,29.1776,324.05,1.22,1.1,2025-02-24,0045,A,76,6.1NRT,286.41,30.16,N
-33.36611,19.26233,305.27,1,1,2025-02-24,0054,A,62,6.1NRT,287.73,6.93,N
-1.4217,29.20821,320.64,1.23,1.1,2025-02-24,0045,A,58,6.1NRT,284.47,24.89,N
-33.37342,19.24987,363.99,1,1,2025-02-24,0054,A,100,6.1NRT,292.81,98.39,N
-33.37498,19.26045,329.05,1,1,2025-02-24,0054,A,100,6.1NRT,290.33,28.3,N
-1.42532,29.16664,311.6,1.22,1.1,2025-02-24,0045,A,40,6.1NRT,283.58,15.91,N
-33.38383,19.25855,306.63,1,1,2025-02-24,0054,A,69,6.1NRT,288.52,8.2,N
-1.42684,29.17678,334.89,1.22,1.1,2025-02-24,0045,A,100,6.1NRT,284.74,48.7,N
-33.96267,18.4378,303.99,1,1,2025-02-24,0054,A,58,6.1NRT,287.16,7.27,N
-1.42892,29.17022,325.19,1.22,1.1,2025-02-24,0045,A,100,6.1NRT,283.39,33.94,N
-1.4304,29.18036,307.18,1.22,1.1,2025-02-24,0045,A,49,6.1NRT,279.79,12.85,N
-12.07475,26.40015,303.45,1.15,1.07,2025-02-24,0047,A,55,6.1NRT,287.33,8.11,N
-18.36743,26.4792,305.96,1.38,1.16,2025-02-24,0049,A,66,6.1NRT,290.22,9.32,N
14.418,26.29261,306.68,1.36,1.15,2025-02-24,0039,A,46,6.1NRT,289,11.54,N
14.40785,26.29121,321.37,1.36,1.15,2025-02-24,0039,A,100,6.1NRT,289.63,29.18,N
14.40893,26.28564,313.91,1.36,1.15,2025-02-24,0039,A,63,6.1NRT,288.31,19.04,N
14.40725,26.29784,310.96,1.36,1.15,2025-02-24,0039,A,19,6.1NRT,289.56,15.45,N
35.68904,43.87843,305.04,2.5,1.52,2025-02-24,0034,A,63,6.1NRT,267.46,48.31,N
14.39878,26.28427,306.07,1.36,1.15,2025-02-24,0039,A,67,6.1NRT,287.12,12.27,N
13.10535,33.59073,302.64,1.45,1.19,2025-02-24,0039,A,50,6.1NRT,290.71,7.95,N
34.89223,43.81778,307.23,2.6,1.55,2025-02-24,0034,A,71,6.1NRT,266.83,57.21,N
13.38189,27.49189,301.51,1.13,1.06,2025-02-24,0041,A,38,6.1NRT,288.71,6.78,N
34.89925,43.81277,307.16,2.6,1.55,2025-02-24,0034,A,71,6.1NRT,267.07,57.05,N
12.96596,25.99706,300.31,1.36,1.15,2025-02-24,0041,A,24,6.1NRT,289.18,8.21,N
12.04565,31.69615,302.39,1.15,1.07,2025-02-24,0041,A,49,6.1NRT,290.08,6.56,N
11.71221,29.80638,310.08,1.01,1,2025-02-24,0041,A,79,6.1NRT,292.86,9.58,N
11.79149,29.16163,318.16,1,1,2025-02-24,0041,A,96,6.1NRT,292.82,14.93,N
11.77908,29.16301,309.24,1,1,2025-02-24,0041,A,64,6.1NRT,292.19,7.99,N
11.77775,29.17191,303.99,1,1,2025-02-24,0041,A,5,6.1NRT,292.29,4.56,N
11.76897,29.17058,308.47,1,1,2025-02-24,0041,A,53,6.1NRT,292.69,7.41,N
11.68583,29.7232,300.95,1.01,1,2025-02-24,0041,A,36,6.1NRT,290.88,4.45,N
12.2589,25.48019,303.13,1.44,1.19,2025-02-24,0041,A,53,6.1NRT,291.28,10.44,N
11.34303,30.40063,309.22,1.04,1.02,2025-02-24,0041,A,77,6.1NRT,292.12,9.13,N
11.25016,30.93704,300.97,1.09,1.04,2025-02-24,0041,A,30,6.1NRT,290.15,4.63,N
11.24863,30.94672,304.32,1.09,1.04,2025-02-24,0041,A,59,6.1NRT,291.63,6.43,N
9.78966,36.60682,301.49,2.87,1.62,2025-02-24,0041,A,42,6.1NRT,278.86,32.35,N
10.80965,29.46344,306.2,1,1,2025-02-24,0041,A,67,6.1NRT,295.22,5.11,N
10.80085,29.4621,305.57,1,1,2025-02-24,0041,A,65,6.1NRT,295.2,4.79,N
8.5524,33.39401,305.13,1.68,1.27,2025-02-24,0041,A,63,6.1NRT,270.22,19.55,N
8.30871,30.16859,303.13,1.08,1.04,2025-02-24,0041,A,53,6.1NRT,292.81,5.09,N
6.98482,34.9787,300.28,2.4,1.49,2025-02-24,0041,A,24,6.1NRT,281.56,15.82,N
7.84211,27.93959,304.85,1.01,1,2025-02-24,0041,A,62,6.1NRT,292.25,5.67,N
6.73127,34.83817,313.33,2.36,1.48,2025-02-24,0041,A,87,6.1NRT,285.26,44.13,N
6.72767,34.85971,302.68,2.37,1.49,2025-02-24,0041,A,48,6.1NRT,282.74,19.84,N
6.73415,34.83088,304.89,2.36,1.48,2025-02-24,0041,A,62,6.1NRT,285.53,23.66,N
6.73065,34.85294,311.69,2.37,1.49,2025-02-24,0041,A,83,6.1NRT,283.73,40.56,N
7.74451,28.09929,322.14,1,1,2025-02-24,0041,A,100,6.1NRT,285.5,20.72,N
7.74319,28.10813,303.45,1,1,2025-02-24,0041,A,20,6.1NRT,291.03,5.32,N
7.21814,30.04492,316.99,1.09,1.04,2025-02-24,0041,A,94,6.1NRT,290.41,19.93,N
8.19557,21.7592,316.18,2.4,1.49,2025-02-24,0041,A,93,6.1NRT,272.55,62.08,N
6.13207,35.11642,305.05,2.55,1.54,2025-02-24,0041,A,63,6.1NRT,286.46,24.09,N
7.33522,23.18414,314.15,1.79,1.31,2025-02-24,0041,A,89,6.1NRT,286.57,31.99,N
7.33305,23.19986,313.96,1.78,1.31,2025-02-24,0041,A,88,6.1NRT,288.37,31.52,N
7.29417,22.80852,300.46,1.91,1.35,2025-02-24,0041,A,28,6.1NRT,279.44,14.4,N
7.25857,22.80364,304.48,1.91,1.35,2025-02-24,0041,A,60,6.1NRT,280.92,19.92,N
6.46583,25.36042,303.16,1.22,1.1,2025-02-24,0041,A,54,6.1NRT,285.9,7.99,N
6.45968,25.4032,302.59,1.22,1.1,2025-02-24,0041,A,50,6.1NRT,286.04,7.82,N
6.45003,25.40189,300.87,1.22,1.1,2025-02-24,0041,A,35,6.1NRT,287.33,6.47,N
6.40331,25.42216,315.27,1.21,1.09,2025-02-24,0041,A,91,6.1NRT,287.45,19.91,N
5.78814,27.64819,307.15,1,1,2025-02-24,0041,A,70,6.1NRT,292.19,7.38,N
4.53168,34.37608,312.91,2.38,1.49,2025-02-24,0043,A,86,6.1NRT,298.14,30.48,N
5.90481,25.18227,300.08,1.23,1.1,2025-02-24,0043,A,15,6.1NRT,287.3,5.64,N
4.50775,34.3649,310.04,2.38,1.49,2025-02-24,0043,A,67,6.1NRT,297.71,23.27,N
4.65195,32.15145,302.9,1.58,1.24,2025-02-24,0043,A,52,6.1NRT,291.13,10.4,N
4.31955,32.44473,311.85,1.68,1.28,2025-02-24,0043,A,83,6.1NRT,295.91,18.56,N
4.31733,32.45911,306.5,1.69,1.28,2025-02-24,0043,A,31,6.1NRT,295.33,10.33,N
4.30838,32.44288,331.15,1.68,1.28,2025-02-24,0043,A,100,6.1NRT,296.5,60.58,N
4.30618,32.45705,306.16,1.69,1.28,2025-02-24,0043,A,3,6.1NRT,296.08,9.89,N
4.19964,32.69762,305.94,1.77,1.3,2025-02-24,0043,A,47,6.1NRT,294.88,11.56,N
4.11745,33.15382,300.33,1.93,1.36,2025-02-24,0043,A,3,6.1NRT,289.85,8.28,N
4.09824,33.12115,308.06,1.92,1.35,2025-02-24,0043,A,73,6.1NRT,295.95,18.05,N
4.10071,32.80313,306.09,1.81,1.32,2025-02-24,0043,A,34,6.1NRT,294.31,13.77,N
4.08117,32.87286,301.48,1.84,1.33,2025-02-24,0043,A,34,6.1NRT,291.11,9.9,N
4.11905,32.47525,310.28,1.71,1.28,2025-02-24,0043,A,80,6.1NRT,295.09,18.58,N
4.98317,26.35172,303.63,1.06,1.03,2025-02-24,0043,A,56,6.1NRT,291.59,6.08,N
3.97411,32.73631,301.76,1.8,1.32,2025-02-24,0043,A,37,6.1NRT,290.66,10.32,N
4.91491,26.31338,304.35,1.06,1.03,2025-02-24,0043,A,59,6.1NRT,292.25,4.97,N
4.91355,26.3227,307.97,1.06,1.03,2025-02-24,0043,A,73,6.1NRT,293.08,7.5,N
3.94219,32.64088,314.75,1.77,1.3,2025-02-24,0043,A,54,6.1NRT,294.39,25.85,N
4.77402,27.13712,304.47,1.01,1.01,2025-02-24,0043,A,60,6.1NRT,292.44,6,N
3.94292,32.64907,310.8,1.78,1.31,2025-02-24,0043,A,16,6.1NRT,293.99,18.19,N
